task,group,metric,advice_type,batch,mean,std,min,max,n_seeds,seeds,common_horizon,report_interval,sd_shading
even-palindrome,controls,accuracy,none,26800,0.8316666666666666,0.07728015412913086,0.75,0.945,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,27000,0.85,0.058022983951763994,0.78,0.945,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,27200,0.84,0.0697614984548545,0.755,0.935,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,27400,0.8174999999999999,0.09599262124420464,0.72,0.96,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,27600,0.8291666666666667,0.07764323680928188,0.73,0.935,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,27800,0.79,0.030686587732536613,0.745,0.84,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,28000,0.7616666666666667,0.08759122228980609,0.625,0.89,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,28200,0.7625000000000001,0.07016349953263923,0.685,0.89,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,28400,0.7741666666666666,0.09740023385780733,0.59,0.91,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,28600,0.8241666666666667,0.09135173172353594,0.685,0.97,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,28800,0.8225000000000001,0.06884463184107625,0.68,0.89,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,29000,0.8083333333333332,0.11141763275572177,0.64,0.96,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,29200,0.8283333333333333,0.08434387285919996,0.735,0.945,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,29400,0.8483333333333333,0.08060534859562496,0.765,0.975,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,29600,0.8466666666666667,0.05030462757595524,0.79,0.92,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,29800,0.8350000000000001,0.041331989225457486,0.78,0.915,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,30000,0.8433333333333333,0.05153208277913432,0.795,0.945,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,30200,0.8575000000000003,0.08260094833999586,0.73,0.95,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,30400,0.8649999999999999,0.0720532210707243,0.74,0.96,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,30600,0.8525,0.06263319141371183,0.795,0.95,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,30800,0.8683333333333333,0.0686577664134866,0.77,0.955,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,31000,0.8691666666666666,0.06002892821150668,0.8,0.965,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,31200,0.8849999999999999,0.05163977794943224,0.815,0.96,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,31400,0.9100000000000001,0.05894913061275795,0.81,0.975,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,31600,0.8966666666666666,0.06472162612982532,0.785,0.97,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,31800,0.8933333333333334,0.0582141639885766,0.795,0.96,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,32000,0.8908333333333333,0.07892067043697878,0.785,0.98,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,32200,0.8958333333333331,0.0749675855879652,0.765,0.965,6,"1000,1001,1002,1003,1004,1005",77000,200,True
even-palindrome,controls,accuracy,none,32400,0.8991666666666668,0.07196160241560925,0.775,0.98,6,"1000,1001,1002,1003,1004,1005",77000,200,True
