task,metric,advice_type,batch,n_seeds,mean,std,lower_band,upper_band
copy,cost,none,4100,3,7.523333333333333,0.35837596645608555,7.164957366877248,7.881709299789419
copy,cost,none,4200,3,7.523333333333333,0.19553345834749955,7.327799874985834,7.718866791680833
copy,cost,none,4300,3,7.406666666666666,0.1446835627614047,7.261983103905262,7.5513502294280705
copy,cost,none,4400,3,7.456666666666667,0.25482019804821854,7.201846468618449,7.711486864714885
copy,cost,none,4500,3,7.19,0.1587450786638754,7.031254921336125,7.3487450786638755
copy,cost,none,4600,3,7.260000000000001,0.09643650760992933,7.163563492390072,7.35643650760993
copy,cost,none,4700,3,7.113333333333334,0.1686218649325568,6.944711468400778,7.281955198265891
copy,cost,none,4800,3,6.9366666666666665,0.2458319208998971,6.69083474576677,7.182498587566563
copy,cost,none,4900,3,7.0200000000000005,0.2707397274136176,6.749260272586383,7.290739727413618
copy,cost,none,5000,3,6.77,0.27,6.5,7.039999999999999
copy,cost,zero,100,3,16.733333333333334,0.06658328118479295,16.66675005214854,16.79991661451813
copy,cost,zero,200,3,14.303333333333333,0.23288051299611437,14.070452820337218,14.536213846329447
copy,cost,zero,300,3,13.053333333333333,0.23180451534284993,12.821528817990483,13.285137848676182
copy,cost,zero,400,3,12.193333333333333,0.13503086067019376,12.05830247266314,12.328364194003527
copy,cost,zero,500,3,12.376666666666665,0.08386497083606109,12.292801695830605,12.460531637502726
copy,cost,zero,600,3,11.866666666666667,0.17009801096230773,11.69656865570436,12.036764677628975
copy,cost,zero,700,3,11.520000000000001,0.03464101615137783,11.485358983848624,11.554641016151379
copy,cost,zero,800,3,11.086666666666666,0.2466441431158118,10.840022523550854,11.333310809782478
copy,cost,zero,900,3,11.14,0.2066397831977183,10.933360216802281,11.34663978319772
copy,cost,zero,1000,3,10.933333333333332,0.17616280348965013,10.757170529843682,11.109496136822981
copy,cost,zero,1100,3,10.606666666666667,0.30088757590391385,10.305779090762753,10.907554242570582
copy,cost,zero,1200,3,10.336666666666666,0.2375570107012907,10.099109655965375,10.574223677367957
copy,cost,zero,1300,3,10.066666666666666,0.25106440076867403,9.815602265897992,10.317731067435341
copy,cost,zero,1400,3,9.916666666666666,0.06027713773341757,9.85638952893325,9.976943804400083
copy,cost,zero,1500,3,10.14,0.3642801120017391,9.775719887998262,10.504280112001739
copy,cost,zero,1600,3,9.92,0.4553020975132886,9.464697902486712,10.375302097513288
copy,cost,zero,1700,3,9.603333333333332,0.1601041327803045,9.443229200553027,9.763437466113636
copy,cost,zero,1800,3,9.343333333333334,0.11015141094572277,9.233181922387612,9.453484744279056
copy,cost,zero,1900,3,9.306666666666667,0.06350852961085952,9.243158137055808,9.370175196277525
copy,cost,zero,2000,3,9.393333333333333,0.20599352740640509,9.187339805926928,9.599326860739737
copy,cost,zero,2100,3,9.200000000000001,0.07211102550928021,9.127888974490721,9.27211102550928
copy,cost,zero,2200,3,8.896666666666667,0.12220201853215584,8.774464648134511,9.018868685198822
copy,cost,zero,2300,3,8.97,0.12529964086141662,8.844700359138583,9.095299640861418
copy,cost,zero,2400,3,8.933333333333332,0.23544284515213768,8.697890488181194,9.16877617848547
copy,cost,zero,2500,3,8.473333333333334,0.12220201853215584,8.35113131480118,8.59553535186549
copy,cost,zero,2600,3,8.94,0.35085609585697636,8.589143904143024,9.290856095856975
copy,cost,zero,2700,3,8.72,0.34394767043839614,8.376052329561604,9.063947670438397
copy,cost,zero,2800,3,8.49,0.08717797887081365,8.402822021129186,8.577177978870814
copy,cost,zero,2900,3,8.416666666666666,0.3501904243884083,8.066476242278258,8.766857091055074
copy,cost,zero,3000,3,8.29,0.2662705391138875,8.023729460886111,8.556270539113887
copy,cost,zero,3100,3,8.016666666666666,0.2775487945088815,7.7391178721577845,8.294215461175547
copy,cost,zero,3200,3,8.22,0.2981610303175119,7.921838969682489,8.518161030317513
copy,cost,zero,3300,3,8.136666666666668,0.37166292972710313,7.7650037369395655,8.508329596393772
copy,cost,zero,3400,3,7.923333333333333,0.29501412395567317,7.6283192093776595,8.218347457289006
copy,cost,zero,3500,3,7.786666666666666,0.08504900548115353,7.701617661185512,7.87171567214782
copy,cost,zero,3600,3,7.5566666666666675,0.05773502691896237,7.498931639747705,7.61440169358563
copy,cost,zero,3700,3,7.7,0.3241913015489468,7.375808698451054,8.024191301548948
copy,cost,zero,3800,3,7.37,0.11135528725660077,7.2586447127434,7.4813552872566005
copy,cost,zero,3900,3,7.633333333333333,0.14294521094927728,7.490388122384055,7.776278544282611
copy,cost,zero,4000,3,7.44,0.18000000000000016,7.26,7.620000000000001
copy,cost,zero,4100,3,7.3133333333333335,0.020816659994661382,7.292516673338672,7.334149993327995
copy,cost,zero,4200,3,7.140000000000001,0.20297783130184452,6.937022168698156,7.3429778313018454
copy,cost,zero,4300,3,7.096666666666667,0.09018499505645819,7.006481671610208,7.186851661723125
copy,cost,zero,4400,3,7.123333333333332,0.2236813209307684,6.899652012402564,7.3470146542641
copy,cost,zero,4500,3,7.06,0.20297783130184452,6.857022168698155,7.2629778313018445
copy,cost,zero,4600,3,6.920000000000001,0.1664331697709322,6.753566830229069,7.086433169770933
copy,cost,zero,4700,3,6.89,0.4750789408087882,6.414921059191212,7.365078940808788
copy,cost,zero,4800,3,6.739999999999999,0.24269322199023183,6.497306778009768,6.982693221990231
