task,metric,advice_type,batch,n_seeds,mean,std,lower_band,upper_band
copy,loss,zero,1000,3,0.5349724351366362,0.0026215069292566027,0.5323509282073796,0.5375939420658927
copy,loss,zero,1100,3,0.5247086444497108,0.0058997359344212736,0.5188089085152895,0.530608380384132
copy,loss,zero,1200,3,0.5165337370832761,0.004620821070563681,0.5119129160127124,0.5211545581538398
copy,loss,zero,1300,3,0.5116786523660024,0.005268288107964428,0.506410364258038,0.5169469404739668
copy,loss,zero,1400,3,0.49968306183815003,0.0021585017999300915,0.49752456003821993,0.5018415636380801
copy,loss,zero,1500,3,0.5012541564305624,0.010940010837819635,0.4903141455927427,0.512194167268382
copy,loss,zero,1600,3,0.49102009187142054,0.012786657870401364,0.4782334340010192,0.5038067497418219
copy,loss,zero,1700,3,0.48747534682353333,0.004960929388550765,0.4825144174349826,0.4924362762120841
copy,loss,zero,1800,3,0.4800673718253772,0.0027167879901933813,0.4773505838351838,0.48278415981557055
copy,loss,zero,1900,3,0.47281555304924644,0.005173272834368379,0.4676422802148781,0.4779888258836148
copy,loss,zero,2000,3,0.47077935765186946,0.0051306300339716724,0.4656487276178978,0.47590998768584114
copy,loss,zero,2100,3,0.46785227805376056,0.004602562324357632,0.46324971572940293,0.4724548403781182
copy,loss,zero,2200,3,0.4561696713169416,0.0034704214406026733,0.4526992498763389,0.45964009275754425
copy,loss,zero,2300,3,0.45842997719844175,0.001771365107599007,0.45665861209084274,0.46020134230604076
copy,loss,zero,2400,3,0.45408745894829433,0.004330452443206783,0.44975700650508754,0.4584179113915011
copy,loss,zero,2500,3,0.4392588781317075,0.0070172352734701,0.4322416428582374,0.4462761134051776
copy,loss,zero,2600,3,0.44968185583750403,0.008702502020474304,0.44097935381702974,0.4583843578579783
copy,loss,zero,2700,3,0.4400123504797618,0.010461106853397536,0.42955124362636427,0.4504734573331593
copy,loss,zero,2800,3,0.43454194714625677,0.0011591726131504917,0.43338277453310625,0.4357011197594073
